DATA;HORA;PREC;P_EST;TBS;TBU;ES_TS;ES_TU;E;URA;DELTA_E;TPO;UA;US;R;Q
16/02/2020;0;0;935.2;20;18.8;23.382;21.7;20.7282738;88.652;2.653;16.25954827;15.32335872;17.28490233;0.0141;0.0139
16/02/2020;12;0;936.3;23.2;20.2;28.434;23.673;21.2427408;74.708;7.192;16.58578502;15.53402315;20.79307326;0.0144;0.0142
16/02/2020;18;0;936;24.8;21.3;31.301;25.331;22.49577331;71.87;8.805;17.34842617;16.36193586;22.76594024;0.0153;0.0151
17/02/2020;0;0.2;936.2;20.9;20;24.716;23.382;22.65270075;91.65;2.064;17.4409302;16.69470903;18.21568148;0.0154;0.0152
17/02/2020;12;0;933.5;25.2;22.2;32.055;26.762;24.33193586;75.906;7.723;18.39250672;17.67369989;23.28358455;0.0166;0.0164
17/02/2020;18;0;932.2;32.6;23.8;49.18;29.481;22.35319891;45.452;26.827;17.26382165;15.8432686;34.85741697;0.0153;0.0151
18/02/2020;0;0;934;25;22;31.676;26.438;24.00793955;75.792;7.668;18.21412757;17.45006613;23.02351158;0.0164;0.0161
18/02/2020;12;0;932.2;26;22.6;33.612;27.42;24.66634669;73.385;8.946;18.5741458;17.86866452;24.34929371;0.0169;0.0166
18/02/2020;18;8.4;933.5;21.4;20.5;25.486;24.115;23.38623957;91.76;2.1;17.86500025;17.20604447;18.75121511;0.016;0.0157
19/02/2020;0;0.5;934.4;20.9;20.1;24.716;23.527;22.87882727;92.565;1.838;17.57310416;16.86136096;18.21568148;0.0156;0.0154
19/02/2020;12;1;934.7;19.8;19;23.094;21.973;21.32493665;92.341;1.769;16.63717442;15.77520929;17.08372903;0.0145;0.0143
19/02/2020;18;0;933.9;27.8;21.2;37.359;25.176;19.82996169;53.08;17.529;15.66999602;14.27915459;26.90142655;0.0135;0.0133
20/02/2020;0;0;934.4;22.2;18.8;26.762;21.7;18.9462738;70.796;7.816;15.06338328;13.90163586;19.63629847;0.0129;0.0127
20/02/2020;12;0;935.9;22.7;18.6;27.587;21.431;18.10957613;65.645;9.478;14.46236364;13.26524921;20.20755867;0.0123;0.0121
20/02/2020;18;0;934.3;28.2;18.6;38.239;21.431;13.65457613;35.708;24.585;10.70497853;9.819326663;27.4987329;0.0092;0.0091
21/02/2020;0;0;935.6;22;17.4;26.438;19.873;16.14714126;61.076;10.291;12.93610432;11.85583321;19.41172104;0.0109;0.0108
21/02/2020;12;0;938.8;16;14.3;18.182;16.299;14.92237263;82.071;3.26;11.88644643;11.18403429;13.62718599;0.01;0.0099
21/02/2020;18;0;938.3;23.4;17.3;28.78;19.748;14.80694761;51.449;13.973;11.78311791;10.82046171;21.03133559;0.01;0.0099
22/02/2020;0;0;940.3;16;11.6;18.182;13.66;10.09556897;55.525;8.087;6.68662149;7.566436815;13.62718599;0.0068;0.0067
22/02/2020;12;0;942.4;14;10.4;15.986;12.612;9.696351949;60.657;6.289;6.149734249;7.317873979;12.06432094;0.0065;0.0064
22/02/2020;18;0;940.3;21.9;13.8;26.277;15.779;9.218215531;35.081;17.059;5.476833504;6.770652709;19.30026463;0.0062;0.0061
23/02/2020;0;0;940.7;15.3;11;17.385;13.127;9.643785603;55.472;7.741;6.077398602;7.245383148;13.06135919;0.0064;0.0064
23/02/2020;12;0;940.8;17.1;13.9;19.5;15.882;13.29006577;68.155;6.21;10.34492504;9.922882612;14.55918654;0.0089;0.0088
23/02/2020;18;0;938.8;27;18.5;35.651;21.297;14.41183069;40.425;21.239;11.42320857;10.40534176;25.74014727;0.0097;0.0096
24/02/2020;0;0;936.4;20.7;15.9;24.414;18.066;14.17835719;58.074;10.236;11.20587175;10.45635739;18.00519048;0.0096;0.0095
24/02/2020;12;0;937.2;19.7;16.6;22.951;18.891;16.37976564;71.368;6.571;13.12644119;12.12113849;16.98390226;0.0111;0.0109
24/02/2020;18;0;934.3;28.6;21.2;39.138;25.176;19.18196169;49.012;19.956;15.22789588;13.77590485;28.10738157;0.013;0.0129
25/02/2020;0;0.8;933.2;23.6;19.8;29.129;23.094;20.01579437;68.715;9.113;15.7941173;14.61706359;21.27194419;0.0136;0.0135
25/02/2020;12;1;934.7;20.4;19.5;23.967;22.668;21.93874791;91.538;2.028;17.01478448;16.19608997;17.69338761;0.015;0.0147
25/02/2020;18;3.6;932.2;21.2;20.4;25.176;23.967;23.31894332;92.624;1.857;17.82665345;17.16819553;18.53539531;0.016;0.0157
26/02/2020;0;30.2;931.6;19;18.5;21.973;21.297;20.89183069;95.08;1.081;16.36413366;15.49715934;16.29910301;0.0143;0.0141
26/02/2020;12;11.4;933.1;17.8;17.4;20.381;19.873;19.54914126;95.919;0.832;15.48020603;14.56101787;15.18054156;0.0133;0.0131
26/02/2020;18;0;934.3;20.7;17.4;24.414;19.873;17.20014126;70.451;7.214;13.77675467;12.68488457;18.00519048;0.0117;0.0115
27/02/2020;0;0;936.4;15.7;13.6;17.837;15.575;13.87426688;77.785;3.962;10.91736953;10.40930449;13.38214455;0.0094;0.0093
27/02/2020;12;0;938.2;16.6;13.8;18.891;15.779;13.51121553;71.523;5.38;10.56453086;10.1054188;14.1289359;0.0091;0.009
27/02/2020;18;0;937.1;23.6;15.8;29.129;17.951;11.63319721;39.937;17.495;8.573073897;8.495450151;21.27194419;0.0078;0.0078
28/02/2020;0;0;937.9;18.2;14.7;20.9;16.726;13.89126713;66.465;7.009;10.93366445;10.332584;15.54578601;0.0094;0.0093
28/02/2020;12;0;940.6;17.4;14.7;19.873;16.726;14.53926713;73.16;5.334;11.54035645;10.84437073;14.82273553;0.0098;0.0097
28/02/2020;18;0;938.7;27.2;18.4;36.072;21.164;14.03581631;38.911;22.036;11.07141616;10.12710797;26.02635405;0.0094;0.0094
29/02/2020;0;0;939.5;20;15.8;23.382;17.951;14.54919721;62.225;8.833;11.54944167;10.75548162;17.28490233;0.0098;0.0097
29/02/2020;12;0;941.6;19.3;16.4;22.388;18.652;16.30292345;72.821;6.085;13.06386836;12.08078419;16.58961188;0.011;0.0108
29/02/2020;18;0;941.1;27.8;18.4;37.359;21.164;13.54981631;36.269;23.809;10.60249338;9.756948844;26.90142655;0.0091;0.009
01/03/2020;0;0;942;20.7;16.8;24.414;19.132;15.97328303;65.426;8.441;12.79205166;11.78009229;18.00519048;0.0107;0.0106
01/03/2020;12;0;943.4;19.1;16.2;22.11;18.416;16.06673128;72.666;6.044;12.86967329;11.91391303;16.39544738;0.0108;0.0107
01/03/2020;18;0;941.1;26.7;16.6;35.029;18.891;10.70976564;30.574;24.319;7.472511965;7.740190981;25.31590545;0.0072;0.0071
02/03/2020;0;0;942;20.8;16;24.565;18.182;14.29416414;58.189;10.271;11.31411832;10.53817547;18.11017229;0.0096;0.0095
02/03/2020;12;0;942.7;18.8;15.6;21.7;17.723;15.13080587;69.726;6.569;12.07102726;11.23143438;16.10787973;0.0101;0.01
02/03/2020;18;0;941;26.4;18.8;34.415;21.7;15.5442738;45.167;18.871;12.42977197;11.24545659;24.89768265;0.0104;0.0103
03/03/2020;0;0;941.2;21.1;17;25.022;19.377;16.05550102;64.166;8.966;12.86036892;11.82462265;18.4282908;0.0108;0.0107
03/03/2020;12;0;940.6;18.8;16;21.7;18.182;15.91416414;73.336;5.786;12.74271041;11.81291279;16.10787973;0.0107;0.0106
03/03/2020;18;0;938;27.4;20.4;36.496;23.967;18.29694332;50.134;18.199;14.59933232;13.19280268;26.31528864;0.0124;0.0122
